location,name,dm,year,week_number,week_start_date,week_end_date,dd_sales,dd_ly_pct,br_sales,br_ly_pct,total_sales,total_sales_ly,total_sales_ly_pct,food_supply_cost,food_supply_cost_sales_pct,labor_hours,labor_earnings,labor_sales_pct,total_royalty,royalty_sales_pct,customer_count,customer_count_ly_pct,average_ticket,average_ticket_ly_pct,store_margin,store_margin_sales_pct
330220,"1779 Woodruff Rd, Greenv",Brianna Royster,2025,47,2025-11-16,2025-11-22,15993.560000000001,,0,,15993.560000000001,,,3120.59,19.51,218.68,3639.6,22.76,0,0,2077,,7.7003177660086672,,9233.37,57.73
345207,"101 Parkway , Greenville",Brianna Royster,2025,47,2025-11-16,2025-11-22,18603.27,,0,,18603.27,,,4062.52,21.84,293.61,4670.29,25.1,0,0,2080,,8.9438798076923085,,9870.46,53.06
346640,"1520 East Main Str, Duncan",Brianna Royster,2025,47,2025-11-16,2025-11-22,27076.909999999996,,0,,27076.909999999996,,,6653.83,24.57,307.15,5017.17,18.53,0,0,3149,,8.5985741505239748,,15405.91,56.9
356343,"722 Grove Rd, Greenville",Brianna Royster,2025,47,2025-11-16,2025-11-22,21420.93,,49.98,,21470.91,,,4469.26,20.82,340.1,4866.19,22.66,0,0,2628,,8.17005707762557,,12135.46,56.52
346538,"697 Fairway Rd, Simps.",Brianna Royster,2025,47,2025-11-16,2025-11-22,15809.38,,0,,15809.38,,,3155.95,19.96,247.18,3927.68,24.84,0,0,1841,,8.5873872895165668,,8725.75,55.19
345194,"1551 Laurens Rd, Greenv",Brianna Royster,2025,47,2025-11-16,2025-11-22,17891.239999999998,,0,,17891.239999999998,,,4322,24.16,260.81,4096,22.89,0,0,2174,,8.2296412143514246,,9473.24,52.95
349940,"101 S. Main Str, Mauldin",Brianna Royster,2025,47,2025-11-16,2025-11-22,20080.11,,0,,20080.11,,,4112.81,20.48,312.6,4695.42,23.38,0,0,2532,,7.9305331753554507,,11271.88,56.13
352435,"2417 Reidville Rd, Spart.",Brianna Royster,2025,47,2025-11-16,2025-11-22,22602.8,,62.97,,22665.77,,,4281.36,18.89,364.76,5480.76,24.18,0,0,2768,,8.1885007225433526,,12903.65,56.93
359294,"7338 Garners Ferry Rd, Col",Cristal Romo,2025,47,2025-11-16,2025-11-22,16225.64,,0,,16225.64,,,3582.88,22.08,256.54,3291.46,20.29,0,0,1841,,8.8134926670287879,,9351.3,57.63
351546,"549 Knox Abbott Dr, Cayce",Cristal Romo,2025,47,2025-11-16,2025-11-22,20214.85,,0,,20214.85,,,3810.74,18.85,254.53,3355.15,16.6,0,0,2421,,8.3497934737711681,,13048.96,64.55
346937,"1011 Wildw. Centr Dr, Col",Jasper Cureton,2025,47,2025-11-16,2025-11-22,26133.38,,0,,26133.38,,,4893.4,18.72,331.95,4356.67,16.67,0,0,3009,,8.685071452309737,,16883.31,64.6
365492,"497 N. Guignard, Sumter",Jasper Cureton,2025,47,2025-11-16,2025-11-22,18181.5,,0,,18181.5,,,3952.27,21.74,386.65,5375.08,29.56,0,0,2411,,7.5410618000829528,,8854.15,48.7
303716,FAC Forest Dr LLC,Jasper Cureton,2025,47,2025-11-16,2025-11-22,17968.010000000002,,0,,17968.010000000002,,,3967.14,22.08,285.01,4168.97,23.2,0,0,2189,,8.2083188670625873,,9831.9,54.72
351280,"2567 Broad Str, Sumter",Jasper Cureton,2025,47,2025-11-16,2025-11-22,16686.1,,0,,16686.1,,,3207.59,19.22,325.76,4434.38,26.58,0,0,1664,,10.027704326923075,,9044.13,54.2
350605,235 Blythewood Rd,Jasper Cureton,2025,47,2025-11-16,2025-11-22,20895.68,,0,,20895.68,,,4473.06,21.41,327.91,5093.56,24.38,0,0,2595,,8.0522851637764941,,11329.06,54.22
303718,FAC Two Notch Rd LLC,Jasper Cureton,2025,47,2025-11-16,2025-11-22,20925.079999999998,,0,,20925.079999999998,,,4261.23,20.36,323.09,4380.18,20.93,0,0,2455,,8.5234541751527484,,12283.67,58.7
345551,"5308 Calh Mem Hwy, Easley",Kayle Cash,2025,47,2025-11-16,2025-11-22,18857.72,,0,,18857.72,,,4440.08,23.55,266.93,4427.68,23.48,0,0,2263,,8.33306230667256,,9989.96,52.98
350096,"2933 N. Main Str, Anderson",Kayle Cash,2025,47,2025-11-16,2025-11-22,26547.539999999997,,0,,26547.539999999997,,,5991.67,22.57,359.07,5692.83,21.44,0,0,3648,,7.2772861842105252,,14863.04,55.99
345196,"2903 N. Pleas. Dr, Greenv",Kayle Cash,2025,47,2025-11-16,2025-11-22,13344.599999999999,,0,,13344.599999999999,,,2725.32,20.42,222.66,3508.36,26.29,0,0,1577,,8.4620164870006338,,7110.92,53.29
356749,"3421 Hwy153, Powdersville",Kayle Cash,2025,47,2025-11-16,2025-11-22,20496.730000000003,,0,,20496.730000000003,,,4611.85,22.5,311.89,5028.8,24.53,0,0,2569,,7.9784857921370191,,10856.08,52.96
302065,"2423 Wade Hampt Bl, Greenv",Kayle Cash,2025,47,2025-11-16,2025-11-22,13735.08,,0,,13735.08,,,2564.78,18.67,214.2,3167.42,23.06,0,0,1592,,8.6275628140703517,,8002.88,58.27
344963,"1131 W. Wade Hamp Bl, Grr",Kayle Cash,2025,47,2025-11-16,2025-11-22,29140.389999999996,,24.99,,29165.38,,,5265.67,18.05,365.2,6108.16,20.94,0,0,3308,,8.81662031438936,,17791.55,61
345195,"520 North US Hwy, TR",Kayle Cash,2025,47,2025-11-16,2025-11-22,23135.170000000002,,0,,23135.170000000002,,,4654.88,20.12,307.34,5070.58,21.92,0,0,2662,,8.6908978211870789,,13409.71,57.96
346516,"1068 Tiger Blvd, Clemson",Kayle Cash,2025,47,2025-11-16,2025-11-22,27274.06,,0,,27274.06,,,6132.2,22.48,365.26,5445.79,19.97,0,0,3025,,9.0162181818181821,,15696.07,57.55
354424,"2871 Sunset Blvd, Lex Med",Nathan Stephenson,2025,47,2025-11-16,2025-11-22,17478.809999999998,,0,,17478.809999999998,,,3331.6,19.06,297.3,4302.43,24.62,0,0,2154,,8.11458217270195,,9844.78,56.32
358607,"5225 Sunset Blvd, Lex",Nathan Stephenson,2025,47,2025-11-16,2025-11-22,21131.85,,0,,21131.85,,,3999.63,18.93,304.35,5061.8,23.95,0,0,2720,,7.7690624999999995,,12070.42,57.12
