location,name,dm,cost_date,dcp_food,dcp_paper,dcp_supplies,br_supplies,sales_tax_dcp,for_the_week_end,production,total_food_cost,total_paper_cost,flash_food_total
355668,,,2026-02-13,3538.92,331.74,335.12,0,9.85,4215.63,0,3548.77,666.86,4215.63
345229,"137 Wildey Str, Tarrytown",Brad McAllister,2026-02-13,0,0,0,0,0,0,566.53,566.53,0,566.53
344719,"80 N. State Rd, Br Man",Brad McAllister,2026-02-13,0,0,0,0,0,0,488.35,488.35,0,488.35
348508,"681 East Main Str, MK",Brad McAllister,2026-02-13,0,0,0,0,0,0,702.97,702.97,0,702.97
310249,"755 North Broadway, WP",Brad McAllister,2026-02-13,0,0,0,0,0,0,362.54,362.54,0,362.54
348176,"25 North Salem Rd, CR",Brad McAllister,2026-02-13,0,0,0,0,0,0,203.38,203.38,0,203.38
346154,"2 Washington Ave, Pl",Brad McAllister,2026-02-13,0,0,0,0,0,0,215.33,215.33,0,215.33
310225,5 Goldens Bridge,Brad McAllister,2026-02-13,1061.69,653.54,51.19,0,6.66,1773.08,220.91,1289.26,704.73,1993.99
345300,"425 Central Park Ave, WP",Brad McAllister,2026-02-13,1936.29,576.64,88.85,0,12.66,2614.44,359.56,2308.51,665.49,2974
331260,"505A Bedford Rd, Pl",Brad McAllister,2026-02-13,1365.64,480.56,299.09,0,18.51,2163.8,175.21,1559.36,779.65,2339.01
330429,"570 Mamaroneck Ave, WP",Brad McAllister,2026-02-13,2871.17,581.81,308.09,0,27.84,3788.91,899.2,3798.21,889.9,4688.11
330441,"42 Lake Str, WP",Brad McAllister,2026-02-13,1999.21,759.57,0,0,3.29,2762.07,430.09,2432.59,759.57,3192.16
302692,"302692 -50 Mamaroneck Ave, WP",Dan Castriota,2026-02-13,0,0,0,0,0,0,437.04,437.04,0,437.04
310000,"646 North Ave,New Rochelle",Dan Castriota,2026-02-13,0,0,0,0,0,0,599.39,599.39,0,599.39
335687,"38 Mill Rd, Eastchester",Dan Castriota,2026-02-13,0,0,0,0,0,0,771.86,771.86,0,771.86
351953,"1333 North Ave, NR",Dan Castriota,2026-02-13,0,0,0,0,0,0,359.68,359.68,0,359.68
351044,"1481 Weaver Rd, Scarsdale",Dan Castriota,2026-02-13,0,0,0,0,0,0,430.14,430.14,0,430.14
345003,"10 Depot Way, Scarsdale",Dan Castriota,2026-02-13,0,0,0,0,0,0,450.06,450.06,0,450.06
300241,"300241 -260 Halstead Ave, Harrison",Dan Castriota,2026-02-13,0,0,0,0,0,0,667.13,667.13,0,667.13
338698,"2241 Southern Blvd, Bronx",Imran Tayyab,2026-02-13,0,0,0,0,0,0,287.36,287.36,0,287.36
340462,"1040 Westch. Ave, Bronx",Imran Tayyab,2026-02-13,0,0,0,0,0,0,494.84,494.84,0,494.84
332150,"1780 East Gun Hill Rd, Bx",Imran Tayyab,2026-02-13,0,0,0,0,0,0,483.76,483.76,0,483.76
335404,"East Sanford Blvd, Mt.Vern",Imran Tayyab,2026-02-13,0,0,0,0,0,0,181,181,0,181
304622,"4090 Boston Post Rd, Bronx",Imran Tayyab,2026-02-13,0,0,0,0,0,0,620.4,620.4,0,620.4
347066,"433 Riverdale Ave, Yonkers",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,477.08,477.08,0,477.08
331196,"710 McLean Ave, Yonkers",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,449.32,449.32,0,449.32
354655,"1 Pallisade Ave, Getty Sq",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,204.02,204.02,0,204.02
332974,"132 Bronx Riv Rd, Yonk",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,515.07,515.07,0,515.07
348518,"433 Lincoln Ave, Pelham",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,342.28,342.28,0,342.28
307075,"132 Tuckahoe Road, Yonkers",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,427.3,427.3,0,427.3
332915,"851 Yonkers Ave, Yonkers",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,373.47,373.47,0,373.47
349796,"296 McLean Ave, Yonkers",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,236.03,236.03,0,236.03
345684,"680 Centr Park Ave, Yonk",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,358.77,358.77,0,358.77
331991,"1591 Centr Park Ave, Yonk",Irfan Mamsa,2026-02-13,0,0,0,0,0,0,392.68,392.68,0,392.68
359494,"987 Cent Park Ave, Yonk",Irfan Mamsa,2026-02-13,1818.49,137.14,68.12,0,7.02,2030.77,547.14,2372.65,205.26,2577.91
340194,FAC 2365 CPA LLC,Irfan Mamsa,2026-02-13,2348.2,412.38,-1.17,0,1.57,2760.98,333.72,2683.49,411.21,3094.7
330187,"2248 Centr Park Ave, Yonk",Irfan Mamsa,2026-02-13,3697.59,754.81,352.83,49.34,20.44,4825.67,463.04,4181.07,1156.98,5338.05
332995,"850 Bronx Riv Rd, Yonk",Irfan Mamsa,2026-02-13,2274.83,339.75,-10.2,0,0.96,2605.34,563.86,2839.65,329.55,3169.2
344963,"1131 W. Wade Hamp Bl, Grr",Kayle Cash,2026-02-13,465.29,391.36,0,0,0,856.65,0,465.29,391.36,856.65
346516,"1068 Tiger Blvd, Clemson",Kayle Cash,2026-02-13,2572.61,361.24,170.48,0,2.48,3106.81,0,2575.09,531.72,3106.81
345551,"5308 Calh Mem Hwy, Easley",Kayle Cash,2026-02-13,2066.7,483.15,704.74,0,6.25,3260.84,0,2072.95,1187.89,3260.84
330429,"570 Mamaroneck Ave, WP",Brad McAllister,2026-03-23,0,0,0,0,0,0,471.41,471.41,0,471.41
345300,"425 Central Park Ave, WP",Brad McAllister,2026-03-23,0,0,0,0,0,0,126.64,126.64,0,126.64
310249,"755 North Broadway, WP",Brad McAllister,2026-03-23,0,0,0,0,0,0,107.95,107.95,0,107.95
348176,"25 North Salem Rd, CR",Brad McAllister,2026-03-23,0,0,0,0,0,0,148.03,148.03,0,148.03
345229,"137 Wildey Str, Tarrytown",Brad McAllister,2026-03-23,0,0,0,0,0,0,140.14,140.14,0,140.14
310225,5 Goldens Bridge,Brad McAllister,2026-03-23,0,0,0,0,0,0,138.21,138.21,0,138.21
331260,"505A Bedford Rd, Pl",Brad McAllister,2026-03-23,0,0,0,0,0,0,145.83,145.83,0,145.83
330441,"42 Lake Str, WP",Brad McAllister,2026-03-23,0,0,0,0,0,0,170.19,170.19,0,170.19
348508,"681 East Main Str, MK",Brad McAllister,2026-03-23,0,0,0,0,0,0,166.18,166.18,0,166.18
346154,"2 Washington Ave, Pl",Brad McAllister,2026-03-23,0,0,0,0,0,0,174.29,174.29,0,174.29
335687,"38 Mill Rd, Eastchester",Dan Castriota,2026-03-23,0,0,0,0,0,0,357.74,357.74,0,357.74
302692,"302692 -50 Mamaroneck Ave, WP",Dan Castriota,2026-03-23,0,0,0,0,0,0,199.69,199.69,0,199.69
351044,"1481 Weaver Rd, Scarsdale",Dan Castriota,2026-03-23,0,0,0,0,0,0,162.08,162.08,0,162.08
351953,"1333 North Ave, NR",Dan Castriota,2026-03-23,0,0,0,0,0,0,167.96,167.96,0,167.96
300241,"300241 -260 Halstead Ave, Harrison",Dan Castriota,2026-03-23,0,0,0,0,0,0,268.46,268.46,0,268.46
310000,"646 North Ave,New Rochelle",Dan Castriota,2026-03-23,0,0,0,0,0,0,365.72,365.72,0,365.72
345003,"10 Depot Way, Scarsdale",Dan Castriota,2026-03-23,0,0,0,0,0,0,179.86,179.86,0,179.86
340462,"1040 Westch. Ave, Bronx",Imran Tayyab,2026-03-23,0,0,0,0,0,0,261.75,261.75,0,261.75
359494,"987 Cent Park Ave, Yonk",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,240.64,240.64,0,240.64
347066,"433 Riverdale Ave, Yonkers",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,135.74,135.74,0,135.74
340194,FAC 2365 CPA LLC,Irfan Mamsa,2026-03-23,0,0,0,0,0,0,187.83,187.83,0,187.83
331196,"710 McLean Ave, Yonkers",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,141.53,141.53,0,141.53
349796,"296 McLean Ave, Yonkers",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,120.28,120.28,0,120.28
354655,"1 Pallisade Ave, Getty Sq",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,130.9,130.9,0,130.9
331991,"1591 Centr Park Ave, Yonk",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,118.2,118.2,0,118.2
330187,"2248 Centr Park Ave, Yonk",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,183.87,183.87,0,183.87
307075,"132 Tuckahoe Road, Yonkers",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,147.98,147.98,0,147.98
332995,"850 Bronx Riv Rd, Yonk",Irfan Mamsa,2026-03-23,0,0,0,0,0,0,185.05,185.05,0,185.05
358804,"1131 Duth Fork Rd, Irmo",Nathan Stephenson,2026-03-23,0,33.36,0,0,0,56.79,0,0,33.36,56.79
356134,"744 St. Andrews Rd, Col",Nathan Stephenson,2026-03-23,0,41.69,0,0,0,66.6,0,0,41.69,66.6
303718,FAC Two Notch Rd LLC,Jasper Cureton,2026-03-23,3089.54,462.55,221.91,0,17.75,3791.75,0,3107.29,684.46,3791.75
344719,"80 N. State Rd, Br Man",Brad McAllister,2026-03-23,2350.34,495.14,5.78,0,2.39,2853.65,171.68,2524.41,500.92,3025.33
338698,"2241 Southern Blvd, Bronx",Imran Tayyab,2026-03-23,1863.16,506.85,-29.02,55.93,7.04,2348.03,185.61,2055.81,533.76,2589.57
303716,FAC Forest Dr LLC,Jasper Cureton,2026-03-23,1810.26,168.33,-20.04,0,0,1958.55,0,1810.26,148.29,1958.55
346937,"1011 Wildw. Centr Dr, Col",Jasper Cureton,2026-03-23,2460.74,502.14,55.8,0,11.73,3030.41,0,2472.47,557.94,3030.41
350817,"1123 S. Lake Dr, Lexington",Nathan Stephenson,2026-03-23,2130,313.34,174.16,0,13.8,2631.3,0,2143.8,487.5,2631.3
332915,"851 Yonkers Ave, Yonkers",Irfan Mamsa,2026-03-23,2213.88,361.59,-2.38,0,1.57,2574.66,211.84,2427.29,359.21,2786.5
332150,"1780 East Gun Hill Rd, Bx",Imran Tayyab,2026-03-23,2746.23,621.19,55.12,0,6.76,3429.3,250.91,3003.9,676.31,3680.21
345684,"680 Centr Park Ave, Yonk",Irfan Mamsa,2026-03-23,3579.91,565.25,16.26,0,3.42,4164.84,125.66,3708.99,581.51,4290.5
332974,"132 Bronx Riv Rd, Yonk",Irfan Mamsa,2026-03-23,3250.31,857.49,98.64,0,14.26,4220.7,160.56,3425.13,956.13,4526.75
304622,"4090 Boston Post Rd, Bronx",Imran Tayyab,2026-03-23,3381.61,836.69,90.71,0,16.48,4325.49,339.7,3737.79,927.4,4665.19
348518,"433 Lincoln Ave, Pelham",Irfan Mamsa,2026-03-23,3249.07,676.45,46.24,0,9.5,3981.26,149.06,3407.63,722.69,4130.32
335404,"East Sanford Blvd, Mt.Vern",Imran Tayyab,2026-03-23,1759.95,423.95,286.64,0,29.95,2500.49,132.65,1922.55,710.59,2633.14
354043,,,2025-10-08,7025.54,1082.98,573.3,0,32.78,8714.6,0,7058.32,1656.28,8714.6
355496,,,2025-10-08,3183.79,473.72,214.7,0,18.54,3890.75,0,3202.33,688.42,3890.75
356128,,,2025-10-08,7494.09,1234.79,209.69,0,17.18,8955.75,0,7511.27,1444.48,8955.75
