location,business_date,net_sales_total,item_discount_total,subtotal_discount_total,service_total,non_revenue_service_total,return_count,return_total,credit_total,change_in_grand_total,non_taxable_sales_total,taxable_sales_total,tax_exempt_sales_total,tax_collected_total,check_count,void_total,void_count,error_correction_total,error_correction_count,transaction_cancel_total,transaction_cancel_count,carryover_total,carryover_count,check_open_total,check_open_count,check_closed_total,check_closed_count,no_sales_count
338698,2026-01-29,1910.11,-189.39,0,0,,1,-3.19,-1.69,2247.95,294.21,1615.9,0,143.57,204,,,45.69,13,2.59,1,,,2053.68,204,2053.68,204,2
307075,2026-01-29,3013.88,-196.44,0,0,30,,,-0.86,3427.48,576.44,2437.44,0,216.3,330,,,73.6,21,21.03,8,,,3260.18,330,3260.18,330,2
335687,2026-01-29,5846.42,-557.22,0,0,240,,,-0.28,6802.88,1089.91,4756.51,0,398.96,774,,,178.71,37,7.03,1,,,6485.38,774,6485.38,774,4
349796,2026-01-29,1449.84,-111.34,0,0,40,,,,1670.81,214.68,1235.16,0,109.63,154,,,32.53,7,4.13,1,,,1599.47,154,1559.47,153,5
300241,2026-01-29,3498.07,-268.98,0,0,60,,,-0.36,3990.14,842.31,2655.76,0,222.73,426,,,116.81,42,6.6,2,,,3780.8,426,3780.8,426,5
332995,2026-01-29,4856.76,-466.95,0,0,40,1,-5.59,-1.73,5688.75,802.41,4054.35,25.49,357.72,608,,,164.03,50,6.18,2,,,5254.48,608,5254.48,608,13
354655,2026-01-29,2319.6,-200.32,0,0,20,1,-2.59,-0.22,2692.06,411.8,1907.8,0,169.33,292,,,86.24,20,27.69,5,,,2508.93,292,2508.93,292,
347066,2026-01-29,3306.47,-299.02,0,0,50,,,-0.38,3846.26,601.02,2705.45,0,240.39,342,,,239.27,31,,,,,3596.86,342,3596.86,342,2
335404,2026-01-29,2323.36,-134.69,0,0,75,,,,2625.19,330.23,1993.13,0,167.14,274,,,90.75,29,,1,,,2565.5,274,2565.5,274,
332974,2026-01-29,4213.33,-326.23,0,0,60,,,,4848.87,736.05,3477.28,0,309.31,482,,,148.14,29,28.16,2,,,4582.64,482,4582.64,482,3
345684,2026-01-29,3152.17,-282.38,0,0,,,,-0.5,3676.87,427.5,2724.67,0,241.82,385,,,67.16,16,36.6,2,,,3393.99,385,3393.99,385,2
330187,2026-01-29,4127.02,-366.52,0,0,10,,,-1.43,4804.51,642.94,3484.08,0,309.54,476,,,220.56,40,18.79,2,,,4446.56,476,4446.56,476,
310225,2026-01-29,2228.22,-138.56,0,0,50,,,,2526.95,317.7,1910.52,0,160.17,273,,,31.19,17,,5,,,2438.39,273,2438.39,273,18
363726,2026-01-29,2254.13,-120.07,0,0,,,,-3.38,2612.73,0,2254.13,0,225.76,286,-9.39,1,77.65,29,18.83,4,,,2479.89,286,2479.89,286,6
332915,2026-01-29,2765.77,-321.6,0,0,105,,,-0.3,3305.99,317.65,2448.12,0,217.32,332,-1,1,75.35,18,33.73,2,,,3088.09,332,3088.09,332,10
346516,2026-01-29,3469.91,-320.06,0,0,25,8,-30.82,-14.11,4154.21,20.99,3448.92,0,310.43,449,-8.88,4,115.96,31,,,,,3805.34,449,3805.34,449,4
358804,2026-01-29,2239.55,-86.98,0,0,25,,,-3.26,2560.87,0,2239.55,0,224.3,257,-6.78,5,75.55,33,6.59,1,,,2488.85,257,2488.85,258,3
354327,2026-01-29,2446.56,-230.25,0,0,10,,,-7.08,2920.92,0,2446.56,0,220.18,331,-16.85,10,165.25,40,33.28,6,,,2676.74,331,2676.74,331,10
345207,2026-01-29,2697.16,-114.17,0,0,55,,,-3.78,3039.96,16.23,2680.93,0,214.58,289,-10.27,10,197.75,40,,1,,,2966.74,289,2966.74,289,6
303716,2026-01-29,2476.39,-130.16,0,0,,8,-30.88,-6.02,2904.1,0,2476.39,0,247.93,313,-12.72,10,146.21,36,25.02,4,,,2724.32,313,2724.32,313,10
358607,2026-01-29,2470.43,-254.75,0,0,,9,-11.07,-11.73,2985.89,0,2470.43,0,222.41,380,-15.5,12,150.49,36,,14,,,2692.84,380,2692.84,380,6
346640,2026-01-29,3413.77,-204.22,0,0,,,,-6.29,3948.06,57.67,3356.1,0,302.14,417,-21.64,12,110.95,24,36.75,10,,,3715.91,417,3715.91,417,3
344963,2026-01-29,3618.06,-328.31,0,0,,3,-39.47,-8.05,4300.44,0,3618.06,0,289.59,423,-16.96,13,164.99,38,,,,,3907.65,423,3907.65,423,8
351280,2026-01-29,2756.33,-144.18,0,0,,11,-17.36,-11.29,3243.81,0,2756.33,0,275.91,252,-38.74,15,115.47,25,,2,,,3032.24,252,3032.24,252,7
345551,2026-01-29,2336.87,-177.14,0,0,15,19,-10.87,-8.73,2773.69,20.99,2315.88,0,208.44,277,-31.64,19,233.19,42,8.48,1,,,2560.31,277,2560.31,277,7
351286,2026-01-29,2340.15,-170.12,0,0,5,9,-13.35,-8.07,2799.67,12.99,2327.16,0,233.05,296,-34.93,19,163.97,27,,3,,,2578.2,296,2578.2,296,11
356749,2026-01-29,2848.43,-226.7,0,0,10,,,-7.07,3314.94,0,2848.43,0,199.31,363,-33.43,20,131.95,31,9.82,2,,,3057.74,363,3057.74,363,7
