location,name,dm,year,week_number,week_start_date,week_end_date,dd_sales,dd_ly_pct,br_sales,br_ly_pct,total_sales,total_sales_ly,total_sales_ly_pct,customer_count,customer_count_ly_pct,average_ticket,average_ticket_ly_pct
345229,"137 Wildey Str, Tarrytown",Brad McAllister,2025,46,2025-11-09,2025-11-15,26977.77,0.3,0.0,,26977.77,26896.829999999998,0.3,3098,-2.88,8.70812459651388,3.28
345300,"425 Central Park Ave, WP",Brad McAllister,2025,46,2025-11-09,2025-11-15,21284.8,3.42,0.0,,21284.8,20580.190000000002,3.42,2554,0.2,8.333907595927956,3.22
330441,"42 Lake Str, WP",Brad McAllister,2025,46,2025-11-09,2025-11-15,23674.8,-6.32,0.0,,23674.8,25271.13,-6.32,3003,-9.98,7.883716283716283,4.07
310249,"755 North Broadway, WP",Brad McAllister,2025,46,2025-11-09,2025-11-15,23312.039999999997,2.22,0.0,,23312.039999999997,22804.8,2.22,2785,-1.38,8.370570915619389,3.66
348508,"681 East Main Str, MK",Brad McAllister,2025,46,2025-11-09,2025-11-15,15247.87,7.07,0.0,,15247.87,14240.609999999999,7.07,1630,-5.89,9.354521472392639,13.77
330429,"570 Mamaroneck Ave, WP",Brad McAllister,2025,46,2025-11-09,2025-11-15,53460.979999999996,1.13,0.0,,53460.979999999996,52861.24,1.13,6186,-3.49,8.642253475590042,4.8
346154,"2 Washington Ave, Pl",Brad McAllister,2025,46,2025-11-09,2025-11-15,20504.800000000003,6.07,0.0,,20504.800000000003,19330.640000000003,6.07,2618,-0.68,7.83223834988541,6.8
348176,"25 North Salem Rd, CR",Brad McAllister,2025,46,2025-11-09,2025-11-15,12556.66,-5.62,0.0,,12556.66,13304.679999999998,-5.62,1567,-11.22,8.013184428844927,6.3
344719,"80 N. State Rd, Br Man",Brad McAllister,2025,46,2025-11-09,2025-11-15,22248.79,-1.54,0.0,,22248.79,22597.42,-1.54,2672,-3.22,8.326642964071857,1.74
331260,"505A Bedford Rd, Pl",Brad McAllister,2025,46,2025-11-09,2025-11-15,15334.929999999998,0.89,0.0,,15334.929999999998,15199.22,0.89,1892,-1.3,8.105142706131078,2.23
346640,"1520 East Main Str, Duncan",Brianna Royster,2025,46,2025-11-09,2025-11-15,28291.030000000002,,0.0,,28291.030000000002,,,3354,,8.435011926058438,
345207,"101 Parkway , Greenville",Brianna Royster,2025,46,2025-11-09,2025-11-15,18323.98,,0.0,,18323.98,,,2124,,8.627109227871939,
345194,"1551 Laurens Rd, Greenv",Brianna Royster,2025,46,2025-11-09,2025-11-15,18808.92,,0.0,,18808.92,,,2254,,8.344685004436556,
346538,"697 Fairway Rd, Simps.",Brianna Royster,2025,46,2025-11-09,2025-11-15,16221.730000000001,,0.0,,16221.730000000001,,,1946,,8.335935251798562,
352435,"2417 Reidville Rd, Spart.",Brianna Royster,2025,46,2025-11-09,2025-11-15,22879.16,,0.0,,22879.16,,,2830,,8.08450883392226,
349940,"101 S. Main Str, Mauldin",Brianna Royster,2025,46,2025-11-09,2025-11-15,20768.56,,0.0,,20768.56,,,2601,,7.98483660130719,
330220,"1779 Woodruff Rd, Greenv",Brianna Royster,2025,46,2025-11-09,2025-11-15,16739.75,,0.0,,16739.75,,,2185,,7.661212814645309,
356343,"722 Grove Rd, Greenville",Brianna Royster,2025,46,2025-11-09,2025-11-15,22381.46,,0.0,,22381.46,,,2664,,8.401448948948948,
351546,"549 Knox Abbott Dr, Cayce",Cristal Romo,2025,46,2025-11-09,2025-11-15,21338.710000000003,,0.0,,21338.710000000003,,,2569,,8.306231996885948,
359294,"7338 Garners Ferry Rd, Col",Cristal Romo,2025,46,2025-11-09,2025-11-15,16462.23,,0.0,,16462.23,,,1968,,8.364954268292683,
